ID	e4	e6	e10	e14	eN	mN	latN	adult
CD03575	42	152	111	37	6	58	5	16
CD03576	109	280	658	1467	1736	3990	1054	603
CD03577	10	11	347	115	3	16	0	21
CD03578	5	44	254	105	18	12	5	3
CD03579	6	22	24	19	258	39	32	43
CD03580	550	643	3100	1457	9171	11936	1446	4036
CD03581	1194	923	626	376	255	175	250	519
CD03582	2129	2369	1394	2607	3028	2562	3247	1981
CD03583	495	4319	2911	1356	181	89	63	513
CD03584	191	262	61	368	15	27	28	69
CD03585	456	414	2504	4537	1206	551	1006	12170
CD03586	187	33	64	261	587	380	290	85
CD03587	3	2	15	136	791	908	125	241
CD03588	750	1685	929	857	764	788	936	1016
CD03589	1392	2173	2145	1638	3587	1840	1940	1802
CD03590	238	289	930	425	101	54	107	1060
CD03591	2154	3409	4295	2544	1238	947	1372	2021
CD03592	3	5	4	0	6	8	7	8
CD03593	1169	728	840	463	889	807	1244	259
CD03594	2885	4340	2146	1996	2059	2410	3163	1165
CD03595	264	293	341	484	649	578	904	501
CD03596	525	380	307	213	438	454	463	252
CD03597	58	85	18	67	12	4	5	16
CD03598	1595	2888	827	1723	4642	9385	4046	1394
CD03599	0	0	23	45	3	0	0	1
CD03600	13	3	9	8812	54466	169663	112694	1404
CD03601	381	347	639	302	133	105	49	22
CD03602	28	307	266	106	3	0	2	44
CD03603	804	923	751	602	821	1258	1407	684
CD03604	29	13	20	42	15	12	5	106
CD03605	198	113	18	2245	36265	13884	3997	850
CD03606	15	24	358	364	62	400	5	25
CD03607	50	33	1500	723	465	248	334	1198
CD03608	0	0	4	22	3	0	0	1
CD03609	654	665	442	600	587	788	596	352
CD03610	524	1016	542	630	412	361	494	375
CD03611	4	16	23	18	9	4	2	6
CD03612	1058	839	1022	766	1238	1312	1191	831
CD03613	1062	837	1389	1291	812	687	760	587
CD03614	573	2692	881	1824	1090	703	526	777
CD03615	331	1590	191	176	12	4	5	9
CD03616	31	27	58	40	56	93	16	36
CD03617	1091	1793	1915	1424	998	734	1087	2050
CD03618	538	330	292	232	350	400	287	156
CD03619	81	61	1126	4564	1816	998	2035	3150
CD03620	118	9	227	700	9	19	14	1580
CD03621	929	1517	353	252	243	380	320	342
CD03622	597	466	1596	1182	1789	1296	1898	1172
CD03623	6	6	5	89	6	19	5	28
CD03624	857	520	695	565	874	800	1270	487
CD03625	136	374	899	1838	2183	5027	1295	782
CD03626	320	189	150	82	193	140	220	179
CD03627	480	921	379	339	548	520	463	297
CD03628	16	0	0	613	6	12	9	138
CD03629	1655	241	542	988	826	415	672	2079
CD03630	0	0	2	53	3	4	0	1
CD03631	11	49	6	2349	36739	10127	2723	1061
CD03632	3565	1778	4411	1967	1463	893	1212	1702
CD03633	685	510	527	265	240	105	227	969
CD03634	61	8	2	7	0	0	2	1
CD03635	99	150	1237	1179	12	8	16	4281
CD03636	960	929	806	549	527	582	470	166
CD03637	2272	3658	4503	729	3	0	0	6
CD03639	140	18	1	6	0	0	0	0
CD03640	2	6	2	0	0	0	0	0
CD03643	84	61	4	1	0	0	0	0
CD03645	67	104	16	33	0	0	0	0
CD03646	8	1	0	1	0	0	0	0
CD03648	32	15	3	27	0	0	0	0
CD03650	230	303	20	173	0	0	0	0
CD03652	4	0	1	32	15	12	7	1
CD03653	0	0	15	27	39	19	12	1
CD03654	1760	3476	1192	2362	7030	11536	7536	1929
CD03655	2	1	11	12	3	8	2	3
CD03656	0	0	0	15	258	295	204	0
CD03657	3	1	0	5	16388	20389	14836	250
CD03658	2143	1031	1653	1361	2340	1797	2936	466
CD03659	237	212	93	53	3	4	5	2
CD03660	1017	733	792	494	705	637	739	534
CD03661	975	702	1295	1191	1463	2767	2572	2178
CD03662	484	236	345	245	347	388	327	198
CD03663	1987	3673	1412	905	447	314	503	2178
CD03664	3	0	2	2777	14119	6831	718	16
CD03665	578	479	461	402	521	497	470	176
CD03666	4439	14271	2697	1501	702	563	795	1189
CD03667	10	1	6	37	0	4	2	1
CD03668	0	0	18	109	110	66	51	274
CD03669	620	1866	1371	993	717	435	609	2436
CD03670	562	607	528	473	438	540	570	408
CD03671	206	144	130	232	0	0	0	2
CD03672	791	723	841	614	213	82	146	1177
CD03673	7	1	2	1319	8303	5605	684	4
CD03674	716	715	539	460	581	613	586	280
CD03675	0	1	0	17	41	47	9	8
CD03676	2	0	12	14	9	12	5	0
CD03677	1	0	2	12	9	8	2	1
CD03678	0	1	1	44	193	194	76	25
CD03679	46	30	61	38	27	23	32	72
CD03680	0	1	0	31	50	23	21	18
CD03681	1	0	1	2487	15828	2643	769	38
CD03682	81	1	409	416	821	966	426	1
CD03683	415	181	273	210	284	322	338	209
CD03684	1363	1365	1145	1207	1197	1040	1217	1317
CD03685	5	0	1	5	56	105	49	0
CD03686	14	1	4	2	0	0	2	7
CD03687	7	3	3	38	116	93	42	23
CD03688	160	158	121	140	178	485	171	161
CD03689	484	390	312	303	664	706	723	364
CD03690	295	427	421	327	616	524	640	223
CD03691	1	11	16	21	0	0	0	1
CD03692	121	386	71	37	59	43	28	90
CD03693	2	0	18	311	21	23	14	379
CD03694	1934	2645	1401	1234	566	415	503	547
CD03695	82	3	42	4342	18050	13989	762	42
CD03696	2	1	2	77	984	1654	556	500
CD03697	2202	2026	2662	2219	1499	1599	1805	3025
CD03698	218	132	203	132	314	415	322	215
CD03699	5141	6646	3304	3028	2592	2826	3559	4713
CD03701	5	6	4	74	287	466	341	79
CD03702	2	1	7	40	33	82	30	3
CD03703	269	278	239	218	338	431	561	158
CD03704	20	7	174	322	178	307	216	307
CD03705	2	0	5	6	3	4	5	4
CD03706	1921	2910	3913	4726	2785	2364	2980	7193
CD03707	21	29	15	7	9	8	14	18
CD03708	1	1	19	30	6	8	12	6
CD03709	503	420	484	397	512	609	549	276
CD03710	1	3	0	9	41	58	14	4
CD03711	5	1	83	238	124	43	37	76
CD03712	95	9	3	4	3	0	2	3
CD03713	1773	1362	3037	11237	13603	14028	10201	13428
CD03714	4365	7420	7896	3841	2136	1335	1713	4428
CD03715	5	1	18	42	133	489	121	6
CD03716	4	23	6	2	0	0	0	2
CD03717	561	738	536	182	373	485	357	95
CD03718	7	15	9	144	382	683	419	3
CD03719	166	1	2	127	290	365	104	0
CD03720	37	13	51	52	39	43	25	25
CD03721	0	4	0	52	530	633	234	4
CD03722	6298	18142	13329	5505	3694	3105	3747	9168
CD03723	724	655	1081	585	960	691	857	585
CD03724	12	25	75	280	187	120	23	1
CD03725	2574	3951	1129	851	1010	1029	980	641
CD03726	0	1	0	89	196	120	53	3
CD03727	2361	1938	2350	3719	2906	2771	3332	6780
CD03728	1	0	2	134	3	0	2	59
CD03729	1209	242	760	2990	2678	2756	5455	21011
CD03730	227	323	256	261	314	404	461	251
CD03731	267	499	470	585	1235	1502	1525	411
CD03732	1	1	0	8	50	147	51	2
CD03733	9	5	1	146	9	31	5	44
CD03734	0	0	0	35	809	1448	1103	2
CD03735	0	0	15	166	619	1095	225	2
CD03736	0	0	3	125	6	12	2	3
CD03737	621	354	5876	3853	1597	679	679	1316
CD03738	51	5	10	130	521	691	558	536
CD03739	1	0	1	2	2405	3586	1031	0
CD03740	293	260	445	380	172	182	206	361
CD03742	46	5	6	14	6	8	2	3
CD03743	0	1	0	274	6132	12091	6271	8
CD03744	1	0	0	139	530	714	202	1
CD03745	15	1	1	421	92	237	248	45
CD03746	3	0	40	6341	930	1258	42	1
CD03747	65	465	89	481	74	726	70	44
CD03748	407	506	517	845	216	349	255	268
CD03749	70	5	28	159	465	916	408	225
CD03750	6	0	2	40	104	105	39	0
CD03751	652	614	397	236	433	322	287	102
CD03752	2358	179	40	70	56	54	16	18
CD03753	267	183	147	192	71	62	97	161
CD03754	477	282	416	296	557	815	718	408
CD03755	110	68	165	285	275	338	243	150
CD03756	2347	1481	1188	1100	1102	1254	992	1370
CD03757	13	1	1	2	0	0	0	0
CD03762	97	25	64	352	163	78	211	1353
CD03764	253	15	6	23	12	8	21	43
CD03765	6	2	3	15	0	0	0	61
CD03766	378	409	593	310	391	345	375	181
CD03767	3	1	3	3	0	4	0	16
CD03768	184	180	64	306	273	167	445	456
CD03770	4	3	4	32	9	8	2	4
CD03771	1	1	5	1347	21	43	21	1
CD03772	451	40	4	358	1620	3951	3569	497
CD03773	1	0	2	3	9	12	5	90
CD03774	484	297	2321	1541	311	213	271	2766
CD03775	21	22	841	1053	1040	761	1242	3221
CD03776	146	140	252	247	554	939	742	430
CD03777	0	0	0	19	0	0	0	1
CD03778	0	20	37	62	0	0	0	0
CD03781	913	1210	1314	879	773	648	1142	435
CD03782	1	0	1	132	50	39	35	23
CD03784	1	0	0	12	0	0	0	0
CD03785	23	0	0	22	33	43	32	0
CD03786	1	1	1	21	3	8	2	5
CD03787	32	1	13	313	190	571	102	296
CD03788	5	3	1	121	237	598	88	3
CD03789	1182	365	739	2150	1126	1032	1342	1120
CD03790	300	26	5	7	3	0	2	6
CD03791	0	5	1	5	0	0	0	0
CD03792	1	0	1	7	0	0	0	0
CD03793	0	1	1	12	0	0	0	0
CD03794	27	16	489	1257	338	186	368	1443
CD03795	6	10	21	78	6	12	2	2
CD03797	1	0	6	25	6	4	2	4
CD03799	26	15	604	1710	1600	811	1196	1106
CD03800	150	1917	2176	1439	18	12	23	66
CD03801	0	0	0	5	0	4	0	0
CD03802	3	2	4	36	36	70	46	9
CD03803	41	0	3	27	9	8	9	0
CD03804	39	7	165	225	435	330	468	190
CD03805	260	330	93	142	264	245	297	394
CD03807	225	113	128	72	6	4	7	309
CD03808	2671	5622	2845	2156	3448	3167	3483	2112
CD03809	9	3	12	131	0	0	2	126
CD03810	456	892	545	347	139	109	160	328
CD03811	312	462	267	234	198	256	216	175
CD03812	265	291	139	66	68	109	74	83
CD03813	0	1	3	8	0	0	0	1
CD03814	1606	2169	2410	2674	2071	6296	1970	937
CD03815	402	552	827	928	1431	858	1159	1010
CD03816	250	193	145	190	193	248	209	209
CD03817	787	849	681	483	806	710	959	1179
CD03818	107	61	163	159	53	54	46	57
CD03820	64	13	40	707	1540	1281	925	307
CD03821	4	4	18	7	0	4	0	77
CD03822	325	34	12	71	139	547	1346	2813
CD03823	361	229	250	164	370	470	373	169
CD03824	610	807	457	263	267	357	248	330
CD03825	222	73	211	577	705	380	324	319
CD03826	4142	7594	1584	2535	2026	2049	2327	2781
CD03827	470	228	269	207	181	225	213	60
CD03828	291	150	195	125	151	147	148	78
CD03829	1522	1168	2216	1229	933	454	470	3023
CD03830	0	1	22	39	3	4	2	11
CD03831	1435	1004	873	504	438	307	436	838
CD03832	694	507	724	880	1037	1265	1198	1482
CD03833	119	76	113	106	56	78	63	170
CD03834	3	7	104	66	9	8	5	6
CD03835	0	0	1	4	0	4	2	0
CD03836	1	2	2	173	735	590	21	117
CD03838	1156	1171	1391	4883	729	419	665	1298
CD03839	1	1	11	499	17137	28467	10741	3
CD03840	30	17	2	11	0	0	0	16
CD03841	343	139	2	8	0	8	0	1
CD03842	243	216	163	129	139	132	139	112
CD03843	125	754	9	40	6	12	0	161
CD03844	3	1	0	970	2263	6156	1910	1392
CD03847	58	3	0	2	0	0	0	0
CD03848	44	2	0	2	0	0	0	0
CD03849	77	6	0	2	0	4	0	0
CD03851	58	5	0	1	0	0	0	0
CD03852	46	2	1	14	6	16	9	0
CD03853	16	0	0	0	0	0	0	0
CD03854	10	1	0	0	0	0	0	0
CD03855	1666	3	0	1	0	0	0	0
CD03856	11	0	0	0	0	0	0	0
CD03857	7	1	0	0	0	0	0	0
CD03858	103	8	0	2	0	0	0	0
CD03859	38	0	0	1	0	0	0	0
CD03860	195	0	0	0	0	0	0	0
CD03862	496	6	35	10	0	0	0	0
CD03863	21	0	0	0	0	0	0	0
CD03865	41	3	0	1	0	0	0	0
CD03866	1	1	10	22	9	4	9	116
CD03867	2	15	36	260	0	0	0	1
CD03869	46	0	0	44	0	4	5	0
CD03871	565	30	0	12	0	0	0	0
CD03872	0	2	0	1	3	4	7	0
CD03875	283	22	43	17	15	8	5	1
CD03876	922	717	731	560	507	431	549	451
CD03877	335	721	386	284	33	35	42	528
CD03878	26282	13813	6587	17053	16838	7883	9552	23842
CD03879	834	572	663	352	433	279	433	401
CD03880	8	1	1	12	0	0	0	0
CD03883	0	8	1	0	0	0	0	0
CD03892	3	6	4	0	0	0	0	3
CD03893	41	71	97	48	9	4	9	208
CD03895	5	3	7	3	0	0	0	6
CD03896	45	9	22	45	39	16	30	15
CD03897	617	338	371	363	341	373	410	276
CD03898	10	5	41	77	36	27	35	56
CD03899	141	322	138	115	145	175	148	134
CD03900	18	36	117	150	50	35	42	131
CD03901	107	34	701	751	978	602	1381	2351
CD03902	102	63	206	222	299	675	236	110
CD03903	158	148	9	4	3	4	2	2
CD03904	15	10	1	2	95	54	56	16
CD03906	1	0	0	0	6	16	7	0
CD03908	330	75	103	1207	1428	1273	1455	498
CD03910	3	0	4	35	0	0	0	1
CD03911	0	0	6	10	0	0	0	0
CD03912	3	0	4	58	0	0	0	1
CD03913	23	2	2	43	12	47	14	23
CD03914	360	565	18	4	3	4	2	0
CD03915	160	36	318	1294	2814	1413	1534	1507
CD03916	39	9	2	1	3	0	0	2
CD03917	103	0	1	2	0	0	0	0
CD03918	932	32	1	12	0	0	0	0
CD03919	4	2	1	2	3	4	2	16
CD03920	1202	586	457	376	430	326	389	594
CD03921	340	448	421	383	504	869	614	513
CD03922	554	9	58	9604	22105	33629	29319	1242
CD03923	16	15	11	95	74	27	23	35
CD03924	9	1	30	451	11932	283	276	27
CD03925	3	3	1	6	0	0	0	4
CD03926	590	646	883	942	1546	1199	654	256
CD03927	41	28	29	166	18	4	9	68
CD03928	2	1	15	2370	137409	10530	271	1
CD03929	7	9	5	1219	3925	532	227	89
CD03930	2	0	1	9	3	4	2	2
CD03932	119	117	237	225	906	466	162	62
CD03933	223	545	554	289	347	365	311	259
CD03934	136	384	1029	113	0	0	0	131
CD03935	6	43	117	97	0	0	2	18
CD03936	43	36	1	0	86	411	317	155
CD03937	1	0	0	17	6	590	2	1
CD03938	63	13	1	34	92	4343	21	2
CD03939	13	6	1	11	424	590	287	4
CD03940	1	0	0	2	0	23	0	8
CD03941	148	307	1581	868	853	590	707	461
CD03942	3	3	0	40	252	3389	51	1
CD03943	1852	1718	888	860	844	916	1010	1247
CD03944	1954	1858	2254	1831	1259	582	1038	2269
CD03946	18	18	20	22	15	12	14	18
CD03947	2	1	2	1	0	0	2	8
CD03948	210	51	44	57	53	70	35	21
CD03949	4	3	3	178	812	1642	419	11
CD03950	25	1	0	111	95	3909	32	10
CD03951	2580	2617	1771	1221	921	986	876	1037
CD03952	5	10	0	149	196	404	44	6
CD03954	4	0	0	36	86	2865	16	18
CD03955	4521	5426	2639	1957	1386	1362	1379	1055
CD03956	1815	5218	14298	3094	314	179	148	3000
CD03957	2	0	1	638	441	36521	137	4
CD03958	1	0	0	62	12	470	0	3
CD03959	465	44	9	17	12	8	5	21
CD03960	1027	922	1282	2379	2817	1479	1529	3330
CD03961	704	671	507	400	507	373	438	444
CD03962	2344	2261	1390	1042	1843	2457	3196	963
CD03963	287	1385	274	230	107	58	32	10
CD03964	4	0	7	509	5836	5877	1098	4
CD03965	0	0	0	59	9	897	9	25
CD03966	1	1	0	0	3	0	0	108
CD03967	29	29	10	10	3	4	0	8
CD03968	27	23	2	117	856	1638	1020	25
CD03969	6	2	39	24	12	8	2	3
CD03970	3	3	43	33	9	12	5	2
CD03971	0	0	1	69	18	1188	2	1
CD03972	127	85	430	2620	127032	139951	160133	529327
CD03973	2	41	425	135	222	210	60	1
CD03974	313	377	278	245	308	349	324	306
CD03975	0	1	0	0	6	8	9	35
CD03976	0	0	0	23	0	4	5	11
CD03977	756	866	559	1084	2210	3656	2802	1075
CD03978	3	2	1	27	71	74	23	11
CD03979	1	0	0	62	1354	485	438	5
CD03980	640	3227	3014	1261	1709	1017	1360	1793
CD03981	327	414	14	33	86	190	151	91
CD03982	4	3	17	7	3	4	5	1
CD03984	2677	25	94	93	6	4	5	680
CD03986	2	1	40	1025	36	113	42	1
CD03987	319	253	390	293	376	730	454	331
CD03988	490	438	677	487	744	1064	996	570
CD03989	137	240	704	688	370	318	382	836
CD03990	1252	2622	750	696	495	388	552	1967
CD03991	1	0	7	47	9	769	7	15
CD03992	10	4	149	619	1043	629	452	218
CD03993	1	1	11	159	80	35	12	1
CD03994	59	10	9	123	27	532	46	99
CD03995	1024	845	496	2768	752	671	987	898
CD03996	94	110	7	6	3	4	9	0
CD03997	635	660	419	422	687	784	848	371
CD03998	1301	253	154	169	252	245	257	129
CD03999	172	263	64	230	151	477	600	359
CD04001	52	4	3119	2836	2888	1828	2125	2234
CD04002	7	11	10	12	3	62	5	14
CD04003	2013	1536	1214	9098	13923	14047	18657	4741
CD04004	1536	3507	1521	2081	1680	1956	2725	978
CD04005	87	6	3	8	6	4	5	7
CD04006	1	1	42	11	15	12	7	4
CD04007	117	127	6	7	6	8	16	6
CD04008	2138	4257	3322	1654	1537	2278	1451	3008
CD04009	446	126	92	275	515	838	992	247
CD04010	1269	1150	1238	830	652	547	702	804
CD04011	140	190	172	92	246	241	311	167
CD04013	732	133	1	5	0	0	0	0
CD04014	354	20	1	9	0	0	0	0
CD04015	147	173	0	5	0	0	0	0
CD04016	9	2	0	0	0	0	0	0
CD04017	1557	456	9	42	3	4	2	0
CD04018	384	80	1	10	0	0	0	0
CD04019	1494	1720	1634	1248	791	563	883	689
CD04020	117	68	22	42	44	54	70	125
CD04021	2	8	67	20	3	0	0	13
CD04022	28	36	37	26	0	0	0	129
CD04023	303	396	500	371	646	699	753	394
CD04024	1360	1199	260	256	427	512	809	1568
CD04025	659	1356	1077	1448	986	1145	999	885
CD04026	292	578	23	19	3	8	2	9
CD04027	152	146	243	334	273	419	341	347
CD04028	217	264	157	214	367	784	371	242
CD04029	814	11953	6741	2656	696	349	540	2042
CD04030	92	80	199	4674	4023	1417	579	253
CD04031	2952	2746	1333	1459	1686	1677	2276	1535
CD04032	704	549	895	761	1081	1250	1534	1749
CD04034	3817	4291	2946	2195	3161	3385	3022	695
CD04035	1622	2684	1410	895	379	229	343	1307
CD04036	336	194	339	183	278	279	301	154
CD04037	1	0	1814	3989	3	8	5	3
CD04038	609	396	355	395	557	606	735	656
CD04039	1	2	3	2	6	23	60	1
CD04040	0	6	6	9	6	0	0	3
CD04041	1167	946	498	374	652	400	440	44
CD04042	60	220	61	150	95	186	171	140
CD04043	119	240	45	51	3	4	2	90
CD04044	1054	1098	1106	1028	1191	1005	1054	1425
CD04045	2	1	2	5	30	198	171	2
CD04046	0	0	0	0	0	0	2	15
CD04047	2	2	2	18	684	1195	547	6
CD04048	459	574	563	404	669	1479	647	316
CD04049	1782	2133	692	1333	1271	695	1363	1730
CD04050	1121	835	438	455	489	516	433	212
CD04051	406	679	557	472	24	12	7	2086
CD04052	260	160	191	199	353	540	341	218
CD04053	220	140	202	187	258	248	273	154
CD04055	10	12	10	113	421	272	155	26
CD04057	1095	1473	1465	1169	1887	4615	1615	525
CD04058	1383	1923	1226	2222	456	186	243	4633
CD04059	933	835	1140	777	127	82	109	2274
CD04060	421	340	340	244	243	206	290	405
CD04061	1147	2411	1451	1107	720	633	793	1910
CD04062	5	0	1	2	0	0	0	1
CD04063	1232	1773	1324	844	761	675	737	1538
CD04064	214	287	167	223	385	617	271	360
CD04065	2	3	14	14	3	16	5	4
CD04066	19	18	16	24	12	19	28	34
CD04067	34	117	362	385	101	140	32	55
CD04068	1	2	3	0	0	0	0	15
CD04069	3915	6204	4423	2953	1375	1195	1013	2386
CD04070	2101	3501	3441	2081	3199	2919	3557	2768
CD04071	27	3	1	4	3	4	2	14
CD04072	12	10	10	13	39	50	32	20
CD04073	1201	1056	587	996	616	621	820	910
CD04074	169	198	1359	1554	275	120	151	1908
CD04075	0	0	0	2	0	0	0	12
CD04076	1	15	1	3	0	0	0	1
CD04077	5	1	126	1082	9	0	5	4
CD04078	512	913	279	182	296	291	197	23
CD04079	681	577	427	483	501	314	417	1112
CD04080	534	357	411	597	566	442	813	1074
CD04081	712	575	19	10	0	8	9	1
CD04082	1	7	0	390	1976	4992	102	2
CD04083	62	16	2	2	3	0	0	1
CD04084	1	0	1	45	118	105	42	1
CD04085	3505	2938	2700	1559	1061	640	793	2665
CD04086	373	24	1	10	0	0	0	1
CD04087	6	20	9	6	0	0	0	1
CD04088	519	133	20	14	0	0	0	5
CD04090	12	15	7	15	3	0	2	1
CD04091	8	2	1	118	9	12	2	6
CD04092	85	61	18	16	3	0	2	3
CD04093	130	11	7	56	9	19	5	156
CD04094	2137	2157	1470	908	388	272	362	2745
CD04095	16	11	0	165	1911	3726	53	0
CD04096	0	0	4	4	0	0	0	1
CD04097	67	13	30	388	1152	314	306	1182
CD04098	910	1736	1289	441	293	248	70	23
CD04099	1628	1703	455	575	1188	1211	1421	557
CD04100	8	7	192	65	15	12	9	11
CD04102	511	562	459	349	329	330	417	278
CD04103	23	26	25	121	56	23	49	348
CD04104	1	24	2	2	0	0	0	0
CD04105	1	0	0	3	24	12	2	1
CD04106	3	7	1	4	0	0	0	1
CD04107	203	208	130	66	3	4	2	230
CD04108	525	249	403	539	524	384	605	1130
CD04110	7	2	5	739	6	0	0	8
CD04111	32	11	625	95	41	23	9	35
CD04113	1607	1891	675	723	379	283	521	419
CD04114	467	913	849	598	1398	2535	1411	701
CD04115	256	14	3	6	3	4	2	6
CD04118	2043	3823	2367	1476	957	501	714	2015
CD04119	20	0	14	52	41	27	56	66
CD04122	211	474	788	213	6	4	5	258
CD04123	1206	2199	2980	1489	1552	1211	1395	1613
CD04124	0	0	12	40	18	16	32	20
CD04125	498	832	193	347	193	175	167	559
CD04126	3708	2932	8152	4305	1502	877	1699	11585
CD04127	349	297	272	377	196	140	209	288
CD04128	12	5	2	134	1440	2911	1574	40
CD04129	2047	3017	760	974	234	190	185	2067
CD04130	647	758	598	823	1612	3792	2081	776
CD04131	3	3	20	108	80	43	60	154
CD04132	3668	5460	6809	3140	678	314	482	6551
CD04134	180	121	126	377	821	450	343	295
CD04135	37	1	111	617	1176	1029	1020	1269
CD04136	17	11	487	237	261	159	294	347
CD04137	3	0	1	6	3	4	2	9
CD04139	6	0	0	0	0	0	0	0
CD04140	28	27	29	24	15	16	14	9
CD04141	194	111	117	75	44	31	49	58
CD04142	2228	2942	2274	1511	2136	2069	2322	1148
CD04143	1506	224	127	102	50	19	35	24
CD04144	19	0	123	173	314	237	324	160
CD04145	544	136	992	352	1899	4138	6303	5255
CD04146	1862	3216	2669	3781	6935	18460	6757	444
CD04147	1308	1234	1828	785	341	163	220	1091
CD04148	2284	1916	1288	951	501	311	510	1806
CD04149	427	661	354	223	355	547	628	412
CD04150	284	176	122	124	196	171	269	115
CD04151	12	4	390	342	136	116	127	1278
CD04152	1088	1497	2701	1717	1558	1032	1636	1846
CD04153	445	540	645	347	584	951	760	401
CD04154	73	130	45	68	714	617	229	80
CD04155	723	3099	148	263	198	357	107	970
CD04156	5126	4375	1461	2482	2500	1801	2825	4415
CD04157	1981	2633	1663	2410	5857	4196	6141	2473
CD04158	390	22	4	11	0	0	0	9
CD04159	122	85	1549	487	675	602	199	619
CD04160	51	8	10	110	36	39	42	31
CD04161	11445	6853	3701	2918	2637	1665	2635	4876
CD04162	1495	1688	666	652	293	182	357	1140
CD04163	4	1	0	10	6	8	2	3
CD04164	183	124	95	12822	114172	272274	534052	92560
CD04165	2615	11105	5200	3743	1718	1580	1309	2548
CD04166	9	0	0	10	3	4	2	0
CD04167	2090	1891	1127	955	397	276	373	2750
CD04168	207	305	847	626	98	120	132	1155
CD04169	188	330	259	300	148	485	204	431
CD04170	37745	2222	41	61	0	0	0	0
CD04171	8144	45	42	14	0	0	0	0
CD04172	22	2	3	4	0	0	0	0
CD04176	201	0	0	0	0	0	0	0
CD04177	2623	191	2	31	0	0	0	0
CD04178	2523	2146	9	25	0	0	0	1
CD04179	227	0	0	3	0	0	0	0
CD04180	348	81	1	20	0	0	0	0
CD04182	725	31	0	8	0	0	0	0
CD04183	1794	362	39	369	0	4	0	0
CD04184	734	30	3	34	0	0	0	0
CD04185	196	30	1	4	0	0	0	1
CD04186	310	59	1	8	0	0	0	0
CD04187	339	55	3	21	0	0	0	1
CD04189	1694	801	19	9	0	0	0	0
CD04190	154	49	18	16	0	0	0	1
CD04191	63	1	0	2	0	0	0	1
CD04192	16	1	0	0	0	0	0	0
CD04193	260	151	247	154	207	229	334	288
CD04194	790	853	527	602	708	803	755	754
CD04195	622	454	2213	1321	1324	1719	1330	856
CD04196	411	187	250	154	293	334	264	170
CD04198	314	110	408	385	222	175	273	570
CD04199	23	236	54	50	0	4	2	6
CD04200	16	162	30	31	24	47	53	40
CD04201	116	545	214	382	0	0	0	0
CD04202	103	314	55	32	0	0	0	0
CD04204	240	340	508	348	515	547	531	314
CD04205	13	3	1	27	6	8	5	1
CD04206	0	0	11	92	3	8	2	5
CD04207	20	3	2	3	3	0	0	1
CD04208	4682	218	10	116	12	12	14	3
CD04209	5	12	17	2	0	0	2	10
CD04210	296	489	643	1881	3226	2395	2494	4168
CD04211	856	593544	29459	6	3	0	0	5
CD04212	8397	8673	2947	25558	15425	7639	7907	10465
CD04216	249	111	100	87	142	136	102	62
CD04217	95	6	9	10	15	12	7	5
CD04218	200	194	178	141	190	299	475	172
CD04221	217	329	380	453	172	85	169	1376
CD04222	438	324	1071	3556	6748	10391	5522	1981
CD04223	1366	2564	2080	2542	1887	1723	2454	5446
CD04224	10	7	162	92	65	82	2	6
CD04225	1	1	6	97	385	908	322	59
CD04226	4364	2828	1185	667	850	982	1421	4252
CD04227	0	3	68	5	9	8	0	8
CD04228	1922	2998	2130	1859	2450	3979	3395	1594
CD04229	308	483	149	287	1158	2282	1073	460
CD04230	764	1974	1992	551	1016	776	929	394
CD04231	2	3	1	10	9	4	5	0
CD04232	0	0	0	19	0	0	0	1
CD04234	1017	902	454	389	524	314	301	41
CD04235	8	0	425	107	3	4	2	53
CD04236	267	193	58	119	172	140	160	163
CD04238	11930	21097	10263	4782	2091	1393	2480	6643
CD04239	118	76	47	28	12	8	16	5
CD04240	1	0	30	455	44	3881	12	1
CD04241	1013	1227	3153	1005	258	159	229	1444
CD04242	15	109	132	152	385	524	739	84
CD04243	1301	959	555	363	444	446	538	571
CD04244	247	231	392	2238	308	314	466	296
CD04245	1	225	3	1	0	0	0	0
CD04246	414	228	1843	3223	1232	640	1064	34319
CD04247	2	1	93	111	30	27	16	14
CD04248	1	0	0	1	9	39	5	0
CD04249	370	279	6	6	3	4	2	2
CD04251	99	41	50	152	136	93	107	893
CD04252	74	99	71	43	86	120	72	33
CD04253	6	0	0	16	1268	904	241	1
CD04254	0	0	0	1	44	206	102	1
CD04255	11	38	39	130	296	706	220	86
CD04256	657	839	1828	761	717	629	957	1023
CD04257	57	86	143	1789	3644	7154	1882	4831
CD04258	263	365	2792	1193	625	454	2380	1140
CD04259	1329	173	12	12	47	206	155	1091
CD04261	437	474	746	386	409	342	445	336
CD04262	161	135	78	66	62	93	102	86
CD04263	669	748	623	503	391	373	505	437
CD04264	86	46	7	27	27	23	21	41
CD04265	1	0	0	7	1914	2938	1863	0
CD04267	8	13	49	21	0	4	0	61
CD04269	1006	4312	3889	4452	130	124	139	972
CD04270	2791	2924	1727	1013	1407	1413	1180	1168
CD04271	5384	5693	3387	1875	2755	2799	2042	2096
CD04272	783	69	14	20	3	0	0	30
CD04273	7	0	0	14	0	70	2	0
CD04274	788	0	213	321	30	23	12	1
CD04275	433	457	814	1140	1093	3276	436	722
CD04276	196	30	14	9	0	0	2	1
CD04277	7554	17765	8735	6750	4215	3497	3353	2701
CD04278	390	353	273	251	320	373	301	195
CD04279	0	0	3	12	6	39	2	1
